client,country,install_date,ad_spend,installs,total_revenue_d1,total_revenue_d14,cpi,apri_d1,arpi_d14,roas_d14
fruit_battle,BR,12/1/2021,36.72693722,792,27.220086,35.65643,0.046372395,0.034368795,0.045020745,0.97085226
fruit_battle,BR,12/2/2021,80.55421955,1500,53.66002201,68.19007201,0.053702813,0.035773348,0.045460048,0.846511485
fruit_battle,BR,12/3/2021,97.53988095,1780,71.09367401,87.25735601,0.054797686,0.039940266,0.049020987,0.894581326
fruit_battle,BR,12/4/2021,123.073327,2293,80.251636,100.903849,0.053673496,0.034998533,0.044005167,0.819867728
fruit_battle,BR,12/5/2021,144.0483333,2756,82.312558,107.478859,0.052267175,0.029866676,0.038998135,0.746130528
fruit_battle,BR,12/6/2021,93.71943038,1878,51.645798,71.294436,0.04990385,0.027500425,0.037962958,0.760722037
fruit_battle,BR,12/7/2021,113.7524804,2221,58.094283,79.322663,0.051216785,0.026156814,0.035714842,0.697326887
fruit_battle,BR,12/8/2021,96.47283423,1927,61.970252,78.297114,0.050063744,0.032158927,0.040631611,0.81159753
fruit_battle,BR,12/9/2021,66.934829,1420,40.998806,53.160828,0.047137204,0.028872399,0.037437203,0.794217731
fruit_battle,BR,12/10/2021,43.03278205,991,30.569437,39.943067,0.043423594,0.030847061,0.040305819,0.928200899
fruit_battle,BR,12/11/2021,44.21154689,1006,32.162729,40.7285,0.04394786,0.031970904,0.040485586,0.921218615
fruit_battle,BR,12/12/2021,40.98890955,937,25.16320501,32.80374401,0.043744834,0.026855075,0.035009332,0.8003078
fruit_battle,BR,12/13/2021,36.67251368,810,23.347524,30.779085,0.045274708,0.028824104,0.03799887,0.839295753
fruit_battle,BR,12/14/2021,32.54145433,724,18.283814,24.693455,0.04494676,0.025253887,0.034106982,0.758830713
fruit_battle,BR,12/15/2021,36.62601883,791,20.923128,26.678737,0.046303437,0.026451489,0.03372786,0.728409416
fruit_battle,DE,12/1/2021,138.1328991,557,67.33951606,92.93852805,0.247994433,0.120896797,0.166855526,0.672819644
fruit_battle,DE,12/2/2021,75.67163473,331,40.57801111,52.70035011,0.228615211,0.122592179,0.159215559,0.696434672
fruit_battle,DE,12/3/2021,108.7640432,433,54.14920999,70.452752,0.251187167,0.125055912,0.162708434,0.647757751
fruit_battle,DE,12/4/2021,292.5785388,1263,133.015765,177.36225,0.231653633,0.105317312,0.140429335,0.606203896
fruit_battle,DE,12/5/2021,182.3245259,714,68.17461504,99.54257604,0.255356479,0.095482654,0.139415373,0.545963718
fruit_battle,DE,12/6/2021,141.7580945,582,57.312843,79.557132,0.243570609,0.098475675,0.136696103,0.561217561
fruit_battle,DE,12/7/2021,140.8053649,619,56.66289201,90.65379601,0.227472318,0.091539406,0.146452013,0.643823451
fruit_battle,DE,12/8/2021,111.671002,472,54.32288298,76.63379698,0.236591106,0.115090854,0.162359739,0.686246166
fruit_battle,DE,12/9/2021,74.21598046,329,32.70934701,42.42281301,0.225580488,0.099420508,0.12894472,0.571612916
fruit_battle,DE,12/10/2021,41.07728049,191,20.09657301,26.60844301,0.215064296,0.10521766,0.13931122,0.647765448
fruit_battle,DE,12/11/2021,28.36196586,164,16.89262001,22.59729201,0.172938816,0.103003781,0.137788366,0.796746323
fruit_battle,DE,12/12/2021,25.96765886,142,13.086691,19.250481,0.182870837,0.092159796,0.135566768,0.741325242
fruit_battle,DE,12/13/2021,18.81083706,95,10.606079,14.557983,0.198008811,0.111642937,0.153241926,0.773914683
fruit_battle,DE,12/14/2021,17.75596121,88,9.408164,14.372165,0.201772286,0.106910955,0.163320057,0.809427596
fruit_battle,DE,12/15/2021,22.41537783,108,10.464475,12.705291,0.207549795,0.096893287,0.117641583,0.566811369
fruit_battle,FR,12/1/2021,86.02600126,558,44.04451198,58.67974198,0.154168461,0.078932817,0.105160828,0.68211635
fruit_battle,FR,12/2/2021,38.18400008,264,21.95267603,30.74059903,0.144636364,0.083154076,0.116441663,0.805064922
fruit_battle,FR,12/3/2021,52.58900006,346,32.60115699,45.07323099,0.15199133,0.094222997,0.130269454,0.857084769
fruit_battle,FR,12/4/2021,187.1210041,1231,101.3895629,130.5123899,0.152007314,0.082363577,0.106021438,0.697475896
fruit_battle,FR,12/5/2021,101.9680013,693,52.255069,69.436012,0.147139973,0.07540414,0.100196266,0.680958841
fruit_battle,FR,12/6/2021,58.80600186,418,29.56514006,40.98218806,0.140684215,0.07073,0.098043512,0.696904853
fruit_battle,FR,12/7/2021,76.20600136,546,32.979277,52.13865,0.139571431,0.060401606,0.095492033,0.684180367
fruit_battle,FR,12/8/2021,70.48300125,511,35.281635,53.308913,0.137931509,0.069044295,0.104322726,0.75633716
fruit_battle,FR,12/9/2021,26.97700082,222,15.810241,20.796584,0.121518022,0.071217302,0.093678306,0.770900521
fruit_battle,FR,12/10/2021,10.07400026,108,6.409693,9.875505,0.09327778,0.059349009,0.091439861,0.980296282
fruit_battle,FR,12/11/2021,10.77100006,121,11.325879,13.463979,0.089016529,0.093602306,0.111272554,1.250021254
fruit_battle,FR,12/12/2021,6.82800004,72,5.528147,8.005106,0.094833334,0.076779819,0.111182028,1.172393959
fruit_battle,FR,12/13/2021,2.66900002,32,1.945499,2.541708,0.083406251,0.060796844,0.079428375,0.952307224
fruit_battle,FR,12/14/2021,1.69900001,25,1.986761,2.845378,0.06796,0.07947044,0.11381512,1.674736894
fruit_battle,FR,12/15/2021,4.84100002,63,3.189778,5.339323,0.07684127,0.050631397,0.084751159,1.102938025
fruit_battle,GB,12/1/2021,100.6769839,349,57.90339192,84.64612092,0.288472733,0.165912298,0.242539028,0.840769336
fruit_battle,GB,12/2/2021,69.83149459,258,37.58222503,53.66890902,0.270664708,0.145667539,0.208019027,0.768548766
fruit_battle,GB,12/3/2021,62.8630056,240,36.336434,48.69749499,0.26192919,0.151401808,0.202906229,0.774660622
fruit_battle,GB,12/4/2021,123.7031711,464,61.14954096,80.03619996,0.266601662,0.131787804,0.17249181,0.647002007
fruit_battle,GB,12/5/2021,118.1080835,437,54.96176192,78.56282293,0.270270214,0.125770622,0.179777627,0.665177358
fruit_battle,GB,12/6/2021,49.80703777,190,23.37860704,37.66833704,0.262142304,0.1230453,0.198254405,0.756285431
fruit_battle,GB,12/7/2021,69.9124552,283,39.71871399,64.31512099,0.247040478,0.140348813,0.227261912,0.919937954
fruit_battle,GB,12/8/2021,53.61324175,212,24.234164,33.899273,0.25289265,0.114312094,0.159902231,0.632292917
fruit_battle,GB,12/9/2021,32.3653296,144,17.099656,26.4582,0.224759233,0.118747611,0.1837375,0.817485882
fruit_battle,GB,12/10/2021,24.52851327,106,16.861933,22.898076,0.231401069,0.15907484,0.216019585,0.9335289
